Accuracy,Precision,Recall,F1_Score,RoC_AuC,Modelo,Método LR,Método SigAPI,Método RFG,Método SigPID,Método JOWMDroid,Dataset,Combinação
97.11677624777737,96.22948766128022,75.53588987217306,84.63614829504765,87.5940811159345,RF,0,1,0,0,0,resultado-selecao-androcrawl_all,SigAPI
89.48641607740974,0.0,0.0,0.0,50.0,RF,0,1,0,0,0,resultado-selecao-androcrawl_permissions,SigAPI
73.4902899707369,64.07871198568873,64.42446043165468,64.25112107623318,71.6170423728556,RF,0,1,0,0,0,resultado-selecao-drebin_215_intents,SigAPI
95.8710664516396,95.88410104011888,63.45132743362832,76.36686390532545,81.56566279262108,RF,0,1,0,0,0,resultado-selecao-androcrawl_api_calls,SigAPI
93.54001729758498,91.47665580890336,90.999099909991,91.23725295550943,93.0143241213104,RF,0,1,0,0,0,resultado-selecao-drebin_215_all,SigAPI
89.48641607740974,0.0,0.0,0.0,50.0,RF,0,1,0,0,0,resultado-selecao-androcrawl_intents,SigAPI
94.0304263981144,53.32555425904317,16.07456911712979,24.702702702702705,57.58094485929276,RF,0,1,0,0,0,resultado-selecao-motodroid_intents,SigAPI
95.74878584259196,94.8703906535232,93.55535553555356,94.20828423819452,95.29498464831708,RF,0,1,0,0,0,resultado-selecao-drebin_215_api_calls_limpo,SigAPI
99.99896621593682,0.0,0.0,0.0,50.0,SVM,1,0,0,0,0,linear-regression-androcrawl_permissions,LR
78.8171113033065,83.17631224764467,39.75981128029166,53.80150899593731,68.07145656607176,SVM,1,0,0,0,0,linear-regression-drebin_215_all,LR
97.18010109071562,91.9298245614035,58.09312638580931,71.19565217391305,78.88383501970529,SVM,1,0,0,0,0,linear-regression-drebin_215_intents,LR
98.8826815642458,62.68221574344023,84.31372549019608,71.90635451505017,91.7238744493129,SVM,1,0,0,0,0,linear-regression-drebin_215_commands,LR
79.4824030337303,72.76703111858704,74.70212398549472,73.72188139059304,78.59023948192485,SVM,1,0,0,0,0,linear-regression-drebin_215_api_calls_limpo,LR
93.06124136790308,50.40035587188611,16.835066864784547,25.23947427043885,57.79810275307404,SVM,1,0,0,0,0,linear-regression-androcrawl_all,LR
100.0,100.0,100.0,100.0,100.0,SVM,1,0,0,0,0,linear-regression-motodroid_api_calls,LR
99.707368981112,100.0,31.25,47.61904761904761,65.625,SVM,1,0,0,0,0,linear-regression-drebin_215_permissions,LR
100.0,100.0,100.0,100.0,100.0,SVM,1,0,0,0,0,linear-regression-motodroid_all,LR
100.0,100.0,100.0,100.0,100.0,SVM,1,0,0,0,0,linear-regression-motodroid_permissions,LR
93.06020758383988,50.3779457536683,16.835066864784547,25.23666332553736,57.797547209863886,SVM,1,0,0,0,0,linear-regression-androcrawl_api_calls,LR
100.0,100.0,100.0,100.0,100.0,SVM,1,0,0,0,0,linear-regression-motodroid_intents,LR
100.0,100.0,100.0,100.0,100.0,RF,1,0,0,0,0,linear-regression-motodroid_permissions,LR
100.0,100.0,100.0,100.0,100.0,RF,1,0,0,0,0,linear-regression-motodroid_all,LR
93.06020758383988,50.3779457536683,16.835066864784547,25.23666332553736,57.797547209863886,RF,1,0,0,0,0,linear-regression-androcrawl_api_calls,LR
